COUNTRY,YEAR,CROP_ITEM,PRODUCTION_TONS
United States,2000,Wheat,1735906.57
United States,2000,Tomatoes,3213679.89
United States,2001,Wheat,1210178.53
United States,2001,Tomatoes,2309697.97
United States,2002,Wheat,7795217.06
United States,2002,Tomatoes,1326982.6
United States,2003,Wheat,4215681.28
United States,2003,Tomatoes,2482556.57
United States,2004,Wheat,7057050.66
United States,2004,Tomatoes,781978.98
United States,2005,Wheat,6568664.36
United States,2005,Tomatoes,1718589.62
United States,2006,Wheat,2800508.18
United States,2006,Tomatoes,1392580.28
United States,2007,Wheat,4514242.24
United States,2007,Tomatoes,3974952.33
United States,2008,Wheat,5089563.51
United States,2008,Tomatoes,2541282.35
United States,2009,Wheat,3622721.33
United States,2009,Tomatoes,1577619.61
United States,2010,Wheat,3142599.88
United States,2010,Tomatoes,1632660.63
United States,2011,Wheat,5725703.63
United States,2011,Tomatoes,452015.55
United States,2012,Wheat,4955661.9
United States,2012,Tomatoes,977245.12
United States,2013,Wheat,7681064.48
United States,2013,Tomatoes,595197.69
United States,2014,Wheat,7308160.59
United States,2014,Tomatoes,1445028.89
United States,2015,Wheat,6542457.38
United States,2015,Tomatoes,3304718.89
United States,2016,Wheat,5832905.69
United States,2016,Tomatoes,2907620.41
United States,2017,Wheat,4514321.36
United States,2017,Tomatoes,2691311.51
United States,2018,Wheat,2327557.46
United States,2018,Tomatoes,3545683.58
United States,2019,Wheat,6555706.05
United States,2019,Tomatoes,1557061.8
United States,2020,Wheat,8326211.55
United States,2020,Tomatoes,1964843.06
United States,2021,Wheat,5291627.45
United States,2021,Tomatoes,1222395.33
United States,2022,Wheat,5723862.73
United States,2022,Tomatoes,3481470.72
United States,2023,Wheat,3114661.77
United States,2023,Tomatoes,1842545.14
United States,2024,Wheat,1506178.65
United States,2024,Tomatoes,3787756.71
China,2000,Wheat,3350177.25
China,2000,Tomatoes,1777934.01
China,2001,Wheat,8497023.9
China,2001,Tomatoes,681153.4
China,2002,Wheat,8606968.31
China,2002,Tomatoes,460402.44
China,2003,Wheat,796187.67
China,2003,Tomatoes,3379607.7
China,2004,Wheat,761408.37
China,2004,Tomatoes,3953067.34
China,2005,Wheat,7134053.39
