COUNTRY,YEAR,Avg_Global_Temperature,Total_Global_Precipitation,Avg_Global_Evaporation,Avg_Global_Soil_Moisture,Production_MT,Crops_Tomatoes_Production_Ton,Crops_Wheat_Production_Ton
United States,2000,24.62,920.4,3.72,0.425,1050939.84,3213679.89,1735906.57
United States,2001,29.37,529.32,5.53,0.356,1183379.83,2309697.97,1210178.53
United States,2002,29.99,456.15,2.9,0.507,849076.55,1326982.6,7795217.06
United States,2003,19.89,828.32,4.07,0.238,317192.93,2482556.57,4215681.28
United States,2004,8.3,287.56,2.26,0.338,1165853.1,781978.98,7057050.66
United States,2005,12.75,701.47,2.98,0.29,1300857.6,1718589.62,6568664.36
United States,2006,20.47,1085.33,1.87,0.332,455718.61,1392580.28,2800508.18
United States,2007,18.56,1083.2,2.08,0.343,1588807.64,3974952.33,4514242.24
United States,2008,6.98,1187.61,4.5,0.522,1750625.74,2541282.35,5089563.51
United States,2009,20.67,797.65,3.09,0.462,1997506.93,1577619.61,3622721.33
United States,2010,25.59,1131.88,4.61,0.49,744357.22,1632660.63,3142599.88
United States,2011,19.78,823.94,3.5,0.535,867992.24,452015.55,5725703.63
United States,2012,8.38,155.56,2.03,0.319,239449.91,977245.12,4955661.9
United States,2013,27.77,195.42,3.18,0.509,458161.57,595197.69,7681064.48
United States,2014,6.07,281.86,1.55,0.3,613933.77,1445028.89,7308160.59
United States,2015,25.51,176.26,5.65,0.151,234435.43,3304718.89,6542457.38
United States,2016,20.67,1113.2,2.76,0.441,1907087.55,2907620.41,5832905.69
United States,2017,25.28,1080.77,3.12,0.392,93368.78,2691311.51,4514321.36
United States,2018,9.51,398.89,5.06,0.486,967108.5,3545683.58,2327557.46
United States,2019,8.71,1364.51,1.78,0.433,1083044.21,1557061.8,6555706.05
United States,2020,21.8,1431.55,5.04,0.278,1083639.73,1964843.06,8326211.55
United States,2021,12.59,1116.02,2.11,0.279,932332.15,1222395.33,5291627.45
United States,2022,24.25,829.8,2.84,0.367,844736.1,3481470.72,5723862.73
United States,2023,6.2,726.93,1.25,0.206,1856247.1,1842545.14,3114661.77
United States,2024,19.79,525.91,2.23,0.312,1705354.06,3787756.71,1506178.65
China,2000,24.22,386.82,1.84,0.494,1181188.85,1777934.01,3350177.25
China,2001,22.4,299.08,3.68,0.17,87198.95,681153.4,8497023.9
China,2002,29.38,1125.37,4.81,0.275,1051417.54,460402.44,8606968.31
China,2003,6.62,873.75,5.72,0.391,1613500.82,3379607.7,796187.67
China,2004,7.64,192.72,2.43,0.221,982404.28,3953067.34,761408.37
China,2005,27.66,826.15,2.85,0.256,576860.16,811772.97,7134053.39
China,2006,17.0,1150.9,3.57,0.332,362034.2,978038.01,2873570.87
China,2007,11.2,334.71,3.2,0.272,436192.18,3214532.89,3953687.82
China,2008,23.68,922.28,2.88,0.289,1804522.19,2368915.31,6705139.63
China,2009,27.62,1416.24,2.73,0.542,1437956.37,3072033.72,8887164.99
China,2010,24.82,1015.05,1.39,0.44,1354857.52,3899054.7,5169421.42
China,2011,7.02,494.35,2.2,0.308,1593349.39,1328633.43,3837617.62
China,2012,16.18,1290.67,4.09,0.45,1906687.73,619694.2,2746612.73
China,2013,13.58,1245.23,3.51,0.292,136686.71,3999531.0,1911191.44
China,2014,29.6,994.47,2.91,0.374,1648563.77,3041324.53,952360.66
China,2015,16.61,1301.04,5.55,0.263,1896673.41,3988088.76,4273379.91
China,2016,17.85,1058.52,4.49,0.418,1812070.15,3285508.98,3431020.59
China,2017,10.16,711.1,5.05,0.264,1154602.82,1553413.14,7334709.83
China,2018,28.33,938.56,5.35,0.365,1053332.4,468042.43,5149990.78
China,2019,27.33,480.78,2.76,0.203,822658.84,2837812.38,5582882.63
China,2020,17.73,1143.44,3.79,0.489,126294.85,2181730.77,5269912.85
China,2021,13.1,1126.54,2.1,0.367,1390969.81,1651939.77,8116420.41
China,2022,16.7,1256.87,4.28,0.416,1818392.35,2233058.41,5698808.26
China,2023,24.07,1486.52,4.17,0.358,1520497.14,1454102.29,5298823.9
China,2024,9.97,1010.95,3.5,0.194,1782150.47,973229.29,1645597.06
Brazil,2000,6.48,1126.23,3.83,0.248,1493482.02,3006197.89,3158278.83
Brazil,2001,23.14,423.73,1.64,0.332,117421.51,783632.69,8988719.36
Brazil,2002,4.86,105.91,3.73,0.477,1986322.86,2327368.06,7660518.48
Brazil,2003,14.61,1071.4,1.26,0.192,681159.07,1672922.55,2220607.29
Brazil,2004,5.35,795.17,3.34,0.48,1067518.92,2426349.66,5290739.94
Brazil,2005,10.22,1077.05,2.29,0.473,510851.11,530056.89,2477470.2
Brazil,2006,23.46,1073.2,3.63,0.205,200848.0,2007332.23,4657531.73
Brazil,2007,12.05,1347.4,3.07,0.311,1306718.68,1590283.42,914365.74
Brazil,2008,25.63,154.29,2.48,0.414,228883.03,1161431.74,6002707.94
Brazil,2009,15.68,350.2,2.77,0.401,402787.92,3238002.3,2663571.77
Brazil,2010,20.33,661.27,4.51,0.218,1348304.38,1243363.48,5092015.05
Brazil,2011,27.27,316.94,1.37,0.245,209781.93,3522239.76,8651058.63
Brazil,2012,20.24,707.47,3.6,0.215,1436647.61,3834383.93,3523386.29
Brazil,2013,18.29,736.72,5.73,0.289,638866.86,2504582.45,5275885.3
Brazil,2014,18.76,948.48,5.75,0.546,1332540.48,3101715.46,6522809.59
Brazil,2015,19.97,152.81,4.44,0.51,1252823.8,1344929.82,3754550.37
Brazil,2016,29.36,673.26,3.26,0.473,449247.45,3997870.11,1163749.68
Brazil,2017,9.1,1291.24,1.76,0.498,1529771.34,2571611.53,3386947.4
Brazil,2018,18.66,922.02,4.23,0.546,408295.84,3320367.17,7191106.26
Brazil,2019,8.33,1423.91,3.36,0.178,1575964.8,1925137.18,513385.81
Brazil,2020,25.6,876.95,3.75,0.472,464409.63,3250104.63,2020315.52
Brazil,2021,15.87,1099.47,3.69,0.289,1687323.53,2588982.09,2956848.29
Brazil,2022,27.96,1033.61,3.33,0.545,170744.11,3482735.89,2603825.22
Brazil,2023,17.25,433.07,2.06,0.183,1154260.74,1350482.25,8074152.53
Brazil,2024,5.02,284.67,4.15,0.214,314165.43,1503186.07,3750688.94
Germany,2000,18.64,212.18,5.43,0.202,1891617.63,2293531.85,7634758.19
Germany,2001,25.61,333.0,3.63,0.276,1291402.98,2642490.31,4185225.79
Germany,2002,20.52,737.58,4.28,0.219,196277.41,2464476.97,4436517.34
Germany,2003,5.38,1380.31,4.88,0.272,1202731.36,2788606.5,5393677.49
Germany,2004,20.03,183.85,2.8,0.232,1816398.61,1966132.66,975716.34
Germany,2005,19.31,1342.15,1.4,0.332,1308622.91,1547636.2,7665538.29
Germany,2006,19.11,1341.44,3.28,0.194,875773.36,3445923.05,5905641.06
Germany,2007,29.81,1153.8,3.76,0.263,1071857.81,1656843.22,7803269.55
Germany,2008,29.99,604.23,3.31,0.258,1520666.71,1497809.51,8620184.26
Germany,2009,10.69,1391.16,5.33,0.218,593871.4,572965.9,5697688.06
Germany,2010,20.73,1368.53,2.43,0.408,726584.86,2884031.06,5380609.61
Germany,2011,26.91,958.24,3.53,0.256,1842518.96,2558382.93,6654727.0
Germany,2012,18.23,995.5,5.3,0.168,1248465.33,1503328.33,563202.6
Germany,2013,4.72,971.88,3.47,0.231,623762.77,1157791.86,3460595.19
Germany,2014,15.81,792.06,4.83,0.501,911006.07,3901132.62,3767415.21
Germany,2015,28.6,1192.49,1.61,0.236,570720.68,3180525.74,3124587.09
Germany,2016,18.72,435.71,3.6,0.367,1104855.6,3471142.19,5358973.09
Germany,2017,22.35,245.87,2.82,0.314,1827019.46,1826773.9,4044769.7
Germany,2018,8.31,1240.22,5.75,0.486,698621.45,2692137.39,4954807.43
Germany,2019,25.19,1471.62,2.9,0.359,1496598.18,3729888.25,5196498.06
Germany,2020,20.68,294.45,1.33,0.206,1187835.21,2700338.69,2353107.74
Germany,2021,14.73,912.35,4.28,0.157,1461948.54,1521059.91,5026704.26
Germany,2022,10.86,376.77,2.75,0.382,921567.68,2200064.25,8999389.97
Germany,2023,19.1,819.1,5.23,0.334,258945.48,819474.63,5576408.65
Germany,2024,21.29,1397.02,4.12,0.232,298431.25,2748060.82,8106774.64
Australia,2000,16.16,208.78,2.76,0.501,861422.25,2926871.98,2567018.64
Australia,2001,23.91,1353.26,2.74,0.481,1082490.41,3142069.49,3489842.56
Australia,2002,27.78,543.98,3.02,0.348,1264784.11,2778417.71,7884978.73
Australia,2003,26.22,275.08,1.92,0.464,1913847.53,3544409.81,8447301.11
Australia,2004,13.2,1008.74,2.13,0.544,1974424.11,2032015.59,7646030.98
Australia,2005,26.02,664.41,5.27,0.384,1095620.2,3382981.11,5754679.71
Australia,2006,20.38,894.43,5.52,0.541,1731477.16,2830721.86,582231.82
Australia,2007,20.74,464.78,3.58,0.396,1601719.43,2097886.75,3746322.24
Australia,2008,20.41,465.94,1.26,0.36,444533.0,319572.2,4357794.91
Australia,2009,8.74,1482.39,4.92,0.174,1366901.96,345054.78,8524140.35
Australia,2010,12.22,501.88,3.68,0.439,539609.46,1465403.32,2951188.53
